aexp,id,z0_parent_id,M_total_200m,M_total_200c,M_total_500c
1.0005,1.0,1.0,8.6125e+14,5.8408e+14,4.0583e+14
0.9764,1.0,1.0,8.3104e+14,5.86e+14,4.095e+14
0.951,3.0,1.0,8.1274e+14,6.0257e+14,4.1477e+14
0.9265,11.0,1.0,7.9113e+14,5.9035e+14,4.4423e+14
0.9001,4.0,1.0,7.6961e+14,5.8312e+14,4.1617e+14
0.8783,5.0,1.0,7.508e+14,5.7362e+14,3.9275e+14
0.8514,11.0,1.0,7.1861e+14,5.4482e+14,3.4214e+14
0.8264,4.0,1.0,6.8655e+14,4.9856e+14,3.4855e+14
0.8011,17.0,1.0,6.1272e+14,4.8194e+14,3.4417e+14
0.778,12.0,1.0,5.8436e+14,4.661e+14,3.3674e+14
0.7511,5.0,1.0,5.5043e+14,4.4351e+14,3.2518e+14
0.7263,4.0,1.0,5.1719e+14,4.2212e+14,3.1116e+14
0.7015,2.0,1.0,4.9021e+14,4.0421e+14,2.8353e+14
0.675,6.0,1.0,4.6717e+14,3.7595e+14,2.5032e+14
0.6503,3.0,1.0,4.3552e+14,3.5065e+14,2.3742e+14
0.6259,1.0,1.0,4.0059e+14,3.4278e+14,2.4437e+14
0.6001,3.0,1.0,3.7262e+14,3.3732e+14,2.5197e+14
0.5753,2.0,1.0,3.4898e+14,3.1835e+14,2.4308e+14
0.5517,5.0,1.0,3.3079e+14,2.9728e+14,1.9384e+14
0.526,15.0,1.0,2.937e+14,2.6093e+14,1.646e+14
0.5014,4.0,1.0,2.7086e+14,2.4883e+14,1.7315e+14
0.4756,6.0,1.0,2.5574e+14,2.3955e+14,1.7364e+14
0.4517,8.0,1.0,2.4414e+14,2.3555e+14,1.5375e+14
0.4252,15.0,1.0,1.9848e+14,1.9103e+14,1.4295e+14
0.4005,1.0,1.0,1.6481e+14,1.5329e+14,9.3814e+13
0.3772,7.0,1.0,1.1162e+14,1.0355e+14,6.604e+13
0.3504,8.0,1.0,8.7528e+13,8.3312e+13,4.9755e+13
0.3255,2.0,1.0,,,
0.3001,3.0,1.0,,,
0.2762,4.0,1.0,,,
0.2519,1.0,1.0,,,
1.0005,2.0,2.0,7.5031e+14,4.6888e+14,3.1033e+14
0.9764,7.0,2.0,7.1025e+14,4.6249e+14,2.9746e+14
0.951,11.0,2.0,6.7636e+14,4.5541e+14,2.8911e+14
0.9265,1.0,2.0,6.4903e+14,4.4728e+14,2.9249e+14
0.9001,1.0,2.0,6.2731e+14,4.3945e+14,2.9079e+14
0.8783,2.0,2.0,6.1065e+14,4.2713e+14,2.8883e+14
0.8514,3.0,2.0,5.9212e+14,4.181e+14,2.8068e+14
0.8264,2.0,2.0,5.7222e+14,3.9299e+14,2.7493e+14
0.8011,27.0,2.0,5.5912e+14,3.8178e+14,2.6449e+14
0.778,9.0,2.0,5.2614e+14,3.7451e+14,2.4085e+14
0.7511,8.0,2.0,4.819e+14,3.6842e+14,2.2266e+14
0.7263,11.0,2.0,4.6825e+14,3.6053e+14,1.8536e+14
0.7015,54.0,2.0,4.5967e+14,3.6614e+14,1.7096e+14
0.675,7.0,2.0,4.4487e+14,3.5831e+14,1.9276e+14
0.6503,5.0,2.0,4.2681e+14,3.5579e+14,2.054e+14
0.6259,15.0,2.0,4.1247e+14,3.4893e+14,1.7557e+14
0.6001,8.0,2.0,3.728e+14,3.0267e+14,1.4642e+14
0.5753,5.0,2.0,2.8803e+14,2.1624e+14,1.4569e+14
